Instance	Selection	Indicator	PopulationSize	Reward	Hypervolume
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5106.563291660733	1.6152943536990082E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	4997.375924846902	1.576938861190662E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5015.3870149861505	1.5778564841251427E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5018.169404033977	1.5780697601784954E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5000.178699634785	1.5567977070279293E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5071.849042456724	1.580273098953034E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5015.095120419075	1.5379686111522093E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5042.007151573104	1.5772037998576399E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5070.913314515115	1.5794689449751219E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5073.344080717754	1.5823940354630478E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5018.568880389033	1.5567323321434073E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5026.8504381375615	1.5660024296999838E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5013.84644105465	1.5474136339629121E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5013.84644105465	1.5650740951304562E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5007.133120946212	1.57366174064069E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5042.63027082178	1.5546532717299718E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5064.706109983214	1.5380042257468622E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5034.113589036366	1.537304660155312E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5275.696125499824	1.6141982387785735E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5079.191866731812	1.5490345239846943E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5019.43412531483	1.5864865523374032E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5016.674365772948	1.5772759627576968E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5044.926455433892	1.5641640859693669E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5019.43412531483	1.5870987427675268E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5015.3870149861505	1.5776744077138776E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5074.286374704749	1.5646704740404634E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5145.137874469281	1.5207662046689339E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5049.003578848903	1.604115520933203E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5079.191866731812	1.579079678442848E7
eil101_n100_bounded-strongly-corr_01.ttp	BEST	LHV	50	5053.262579775789	1.557338968397633E7
eil101_n100_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	5042.996042503407	1.5940334208827602E7
eil101_n100_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	5058.252764442464	1.5563448847880349E7
eil101_n100_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	5063.046455433892	1.5789157071067803E7
eil101_n100_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	5041.135232560749	1.5426867096426077E7
eil101_n100_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	5147.7173021264025	1.6167714662546337E7
eil101_n100_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	5063.046455433892	1.5878284218344914E7
eil101_n100_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	5193.439038561975	1.550770048471501E7
eil101_n100_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	5012.486185051157	1.5808382336943198E7
eil101_n100_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	5041.135232560749	1.5489121714478781E7
eil101_n100_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	5074.286374704749	1.5540359346933935E7
eil101_n100_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	5018.169404033977	1.5828036621224143E7
eil101_n100_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	5209.591613448069	1.583658410925221E7
eil101_n100_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	5055.5835154491415	1.582541059931147E7
eil101_n100_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	5020.924620100762	1.5798709809407914E7
