Instance	Selection	Indicator	PopulationSize	Reward	Hypervolume
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2357.839076273222	4191776.3464346398
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2481.7407855203674	4343420.093131672
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2449.56843382185	4260848.71535295
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2360.2784792239427	4280136.912811899
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2458.5046298664347	4287174.508600873
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2482.4623603051286	4344426.804985585
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2458.5046298664356	4286556.018499935
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2309.1449853433787	4095974.7877973537
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2482.4623603051277	4344327.640311914
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2481.7407855203664	4316039.27059721
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2475.8723603051276	4313717.742124837
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2414.433654510584	4281434.097108844
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2308.264637771941	4150575.0241626743
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2370.743057461305	4260996.531214123
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2399.380140900112	4302378.79163149
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2370.743057461305	4262769.121964601
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2458.5046298664347	4286564.660156683
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2390.997361029088	4286381.879024115
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2457.7830550816743	4286769.5768988
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2482.4623603051286	4344532.871744961
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2482.4623603051277	4344458.734919826
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2482.4623603051286	4343740.521571339
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2482.4623603051286	4344354.401698927
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2482.4623603051286	4344971.627956333
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LHV	50	2458.5046298664356	4286469.020101195
