Instance	Selection	Indicator	PopulationSize	Reward	Hypervolume
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2377.333057461305	4281613.1979465345
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2458.5046298664347	4288766.960250963
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2405.3852060975537	4287726.773057244
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2482.4623603051286	4344661.185053837
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2422.8431093558997	4283336.009824913
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2326.432861049012	4198780.922181414
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2482.4623603051286	4344517.497329815
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2446.560882275554	4339992.203933487
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2399.380140900112	4303280.404252981
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2482.4623603051286	4363752.214294648
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2482.4623603051286	4362422.41129112
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2399.3801409001117	4297878.379053286
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2378.140797645059	4283778.141759069
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2308.26463777194	4151006.163597976
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2482.4623603051286	4344532.079889011
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2482.4623603051277	4280214.449797839
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2436.413577238553	4284680.964351407
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2458.5046298664347	4286962.64000337
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2482.4623603051286	4344601.511767848
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2458.5046298664356	4286304.268310808
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2458.5046298664347	4287000.687035235
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2482.4623603051286	4363348.217633184
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2378.1407976450596	4283968.087985313
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2458.5046298664347	4286796.893060641
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2482.4623603051286	4344536.616314941
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2399.3801409001126	4303035.124077101
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2308.264637771941	4092790.7754202047
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2482.4623603051286	4344420.61517775
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2454.9436621465775	4342029.431841764
eil101_n100_uncorr-similar-weights_01.ttp	BEST	LSC	50	2377.333057461306	4281951.391134231
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2308.26463777194	4149994.8581852103
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2458.5046298664347	4287574.202994102
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2399.380140900113	4302874.45956306
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2325.1185979767006	4216688.724569101
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2325.1185979767015	4216755.690749305
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2292.7532532136693	4149442.554552891
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2308.264637771941	4150685.285071457
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2435.499999536163	4236437.332136701
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2325.1185979767006	4216388.560747193
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2364.1530574613057	4241043.447059026
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2325.1185979767015	4216732.833764366
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2458.5046298664356	4288385.28642943
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2301.674637771941	4102899.2296705395
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2363.4648170500564	4034461.111302849
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2308.264637771941	4150551.8527215356
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2345.1166926589967	4154325.2609555777
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2399.380140900112	4301861.519048468
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2308.26463777194	4150799.716512764
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2482.4623603051296	4344071.044041166
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2400.537962440748	4302688.010484659
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2458.5046298664347	4286149.095570631
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2308.26463777194	4150716.5660258997
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2377.5509943160087	4228540.174603253
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2481.7407855203674	4362923.542753265
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2308.264637771941	4149963.5914621893
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2482.4623603051286	4362500.678947363
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2325.1185979767015	4216738.897562787
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2308.26463777194	4150696.3516420033
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2325.1185979767006	4216678.040307923
eil101_n100_uncorr-similar-weights_01.ttp	EXPONENTIAL	LSC	50	2475.8723603051276	4343706.495227474
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2399.380140900112	4303443.154889413
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2399.3801409001126	4302907.515590917
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2458.5046298664347	4288605.091549225
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2482.4623603051277	4363852.4326799465
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2457.7830550816734	4207406.854127281
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2364.153057461304	4242033.41232244
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2308.26463777194	4150574.3484965162
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2448.8468590370876	4261531.145540641
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2371.55079764506	4263228.139821896
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2448.8468590370876	4182031.435046966
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2390.997361029088	4300774.876707418
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2371.550797645058	4264882.23792814
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2457.7830550816743	4286475.026204713
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2458.5046298664356	4288670.350038649
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2370.743057461304	4263043.686830245
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2482.4623603051277	4362963.669480374
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2367.169171820647	4227535.981873593
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2440.8558713350685	4103053.8991291495
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2457.7830550816734	4287249.465118336
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2454.9436621465775	4360881.01159672
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2482.4623603051286	4344516.045058827
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2481.7407855203674	4344859.902549724
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2482.4623603051286	4344223.703914128
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2373.020140900111	4244874.978145484
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2458.5046298664347	4288566.478780522
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2458.5046298664356	4288848.018778791
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2482.4623603051277	4344530.224425532
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2308.264637771941	4150575.7457374595
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2475.8723603051285	4342747.877633183
eil101_n100_uncorr-similar-weights_01.ttp	HARMONIC	LSC	50	2454.9436621465775	4350451.046710482
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2458.5046298664356	4287403.564592954
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2457.7830550816743	4288080.693531373
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2482.4623603051286	4344244.218214149
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2458.5046298664356	4287306.09342956
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2367.169171820647	4227221.887472112
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2325.1185979767015	4216799.372426984
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2458.5046298664347	4286190.0357286
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2481.7407855203674	4363205.755061538
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2482.4623603051277	4363683.328902277
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2458.5046298664347	4287288.975286177
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2399.3801409001126	4302832.322633057
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2482.4623603051277	4344433.200699568
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2458.5046298664347	4288831.485906048
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2378.140797645059	4284200.737823671
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2482.4623603051286	4344543.05346702
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2482.4623603051286	4362859.429008937
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2458.5046298664356	4287073.505597294
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2399.3801409001126	4302832.991748184
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2482.4623603051286	4344517.389840112
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2482.4623603051286	4344636.548683656
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2325.1185979767006	4216425.831831226
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2377.333057461305	4281937.806733974
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2473.8058713350665	4157254.9067752976
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2377.333057461306	4281937.806733974
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2458.5046298664356	4286993.6761539215
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2399.380140900112	4303291.534031826
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2454.9436621465775	4360523.083775482
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2457.7830550816734	4288891.503598442
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2371.550797645058	4264882.101984847
eil101_n100_uncorr-similar-weights_01.ttp	INDICATOR_PROPORTIONATE	LSC	50	2458.5046298664347	4289006.730362318
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2367.169171820648	4227151.48899333
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2334.8657467870744	4025912.134965652
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2325.1185979767006	4216302.551820586
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2308.26463777194	4150444.7190216035
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2482.4623603051286	4362535.217492501
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2458.5046298664347	4286927.851142884
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2457.7830550816743	4287940.471175991
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2308.26463777194	4150695.6850608094
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2378.1407976450596	4284156.429291743
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2325.1185979767015	4216640.734108177
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2481.7407855203674	4344074.174807473
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2458.5046298664347	4288119.439197103
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2334.8657467870735	4217648.451783339
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2481.7407855203674	4344563.5720921615
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2482.4623603051286	4344032.3462714655
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2482.4623603051296	4362936.328117486
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2482.4623603051286	4363750.533261516
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2308.26463777194	4062242.6790955355
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2458.5046298664347	4287824.174232468
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2481.7407855203674	4363684.58196982
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2457.7830550816734	4287084.465784642
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2405.2241198326487	4187876.3608649774
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2481.7407855203664	4363414.968237959
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2399.3801409001117	4302866.867484534
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2399.3801409001117	4303151.62869444
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2482.4623603051286	4362539.694077072
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2482.4623603051286	4344806.039156073
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2367.169171820647	4227664.553983509
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2377.333057461305	4281654.89870869
eil101_n100_uncorr-similar-weights_01.ttp	INVERSE_QUADRATIC	LSC	50	2325.1185979767006	4216800.535685702
eil101_n100_uncorr-similar-weights_01.ttp	TOURNAMENT	LSC	50	2399.380140900112	4303135.732511248
eil101_n100_uncorr-similar-weights_01.ttp	TOURNAMENT	LSC	50	2399.3801409001126	4288097.680043328
eil101_n100_uncorr-similar-weights_01.ttp	TOURNAMENT	LSC	50	2481.7407855203674	4315868.5108293295
eil101_n100_uncorr-similar-weights_01.ttp	TOURNAMENT	LSC	50	2482.4623603051277	4363263.121178012
eil101_n100_uncorr-similar-weights_01.ttp	TOURNAMENT	LSC	50	2376.580232002055	4213639.587486766
