Instance	Selection	Indicator	PopulationSize	Reward	Hypervolume
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3020.246278215558	6527521.437081899
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3639.4315231884743	7919682.411026662
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3729.458596360991	7896826.093034681
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3612.1966366190877	7840139.227153933
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3500.4733554447134	7691619.04915544
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3086.465942330407	6532059.071629464
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3151.895931152486	6819491.774342826
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3374.618780261406	7371666.685813917
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3249.0109023452815	6584017.063833507
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3101.211645782694	6798926.39959806
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3511.150997102306	7707122.169862375
eil101_n100_uncorr_01.ttp	BEST	LHV	50	2660.438491524204	5819917.966195609
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3673.798020043229	7649044.239326122
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3162.2392738972476	7113182.39681641
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3422.632940251574	7550417.222598767
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3504.221271867135	7919445.358086368
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3203.8829582983335	6842205.231958719
eil101_n100_uncorr_01.ttp	BEST	LHV	50	2967.013403716914	6384769.792946126
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3150.6895280154567	7102266.67597829
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3234.4789338430705	6891315.7794236485
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3511.074512137845	7446209.101705808
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3489.4534372316984	7251451.585208476
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3564.5162800323683	7430210.463159198
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3257.0993892965275	7308978.677999735
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3602.488109270165	7732887.665127971
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3713.2134355378107	8059189.634067446
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3782.39725567743	8204878.389116673
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3404.0836517945377	7530166.136273408
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3564.7454036175473	7885917.831869667
eil101_n100_uncorr_01.ttp	BEST	LHV	50	3109.492800773489	6850834.5210949
eil101_n100_uncorr_01.ttp	EXPONENTIAL	LHV	50	3695.329154841722	7778146.301418242
eil101_n100_uncorr_01.ttp	EXPONENTIAL	LHV	50	3839.727389273833	8326966.24981508
eil101_n100_uncorr_01.ttp	EXPONENTIAL	LHV	50	3684.8417566222392	8018622.649580179
eil101_n100_uncorr_01.ttp	EXPONENTIAL	LHV	50	3686.632756427404	7802667.723573543
eil101_n100_uncorr_01.ttp	EXPONENTIAL	LHV	50	3659.3615327542616	7749627.533786133
eil101_n100_uncorr_01.ttp	EXPONENTIAL	LHV	50	3850.511809229735	8232924.856395487
eil101_n100_uncorr_01.ttp	EXPONENTIAL	LHV	50	3676.191144199019	7805678.940468235
eil101_n100_uncorr_01.ttp	EXPONENTIAL	LHV	50	3700.403415444572	7869693.561991647
eil101_n100_uncorr_01.ttp	EXPONENTIAL	LHV	50	3676.0267793071566	8018147.036948061
eil101_n100_uncorr_01.ttp	EXPONENTIAL	LHV	50	3180.0319139722246	6949006.897919975
eil101_n100_uncorr_01.ttp	EXPONENTIAL	LHV	50	3109.147914767802	6806814.81310104
eil101_n100_uncorr_01.ttp	EXPONENTIAL	LHV	50	3816.2536511392095	8287184.857352662
