Instance	Selection	Indicator	PopulationSize	Reward	Hypervolume
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4044.910923449631	8761728.391868688
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4047.644643294707	8759714.182876788
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4035.7520682691043	8724350.483871542
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4089.3881182047107	8755116.584833886
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4057.23413380508	8785025.410388038
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4048.250736617621	8769117.022264762
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4051.3555857715874	8819568.019638194
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4089.7010035332014	8752268.97991461
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4061.2781983828795	8819958.454921868
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4057.23413380508	8803615.27558366
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4051.3555857715874	8811512.300132578
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4047.644643294707	8759654.682091318
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4056.171569203549	8803447.201595647
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4047.644643294707	8763299.543349683
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4049.426841726193	8762577.936364854
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4071.1628421065334	8740625.237483347
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4052.2997739671673	8791811.61113737
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4053.8328933017947	8822814.367584607
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4052.2997739671673	8802488.241247684
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4052.2997739671673	8801187.77114691
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LSC	50	4046.006564129555	8749139.265539438
