Instance	Selection	Indicator	PopulationSize	Reward	Hypervolume
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5511.889954924793	9638797.036278667
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5508.865173099702	9579088.600989496
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5373.115862882029	9475906.972791106
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5384.2338877602215	9531929.795919904
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5507.656313690525	9563105.513824392
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5425.803506281173	9392442.56338931
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5514.665860559197	9588947.091581618
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5401.024866429066	9534407.717757115
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5514.880506271534	9582553.015642857
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5508.865173099702	9581070.106514674
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5409.619674217051	9535560.709199475
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5445.63301185348	9445624.376125036
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5351.027817525172	9504052.314577965
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5401.024866429066	9534395.629045835
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5419.761472050025	9587224.45320712
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5333.997387648437	9443027.037161138
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5368.166878765693	9468203.080078822
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5441.476792926213	9550087.852242451
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5401.024866429066	9562462.520592188
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5490.268936102152	9595322.060973207
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5385.491636717196	9471369.469881324
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5466.468143024163	9482470.176395861
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5507.656313690525	9567370.24641691
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5394.108561184329	9539057.664758243
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5422.851636978882	9545837.021684973
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5324.2862181622395	9433943.943019202
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5514.665860559197	9628807.802201618
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5423.5968733472855	9509093.867510209
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5423.5968733472855	9600769.457477422
eil76_n75_uncorr_01.ttp	BEST	LSC	50	5508.865173099702	9555458.606350368
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LSC	50	5256.592083539233	9174131.49886516
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LSC	50	5281.947557565527	9372435.568891913
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LSC	50	5349.93184690392	9381055.34303712
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LSC	50	5466.468143024163	9477953.760284116
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LSC	50	5286.744795189633	9371683.481338674
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LSC	50	5265.330616215257	9196872.52700077
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LSC	50	5281.947557565527	9358785.37026709
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LSC	50	5224.710915327369	9301008.114507837
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LSC	50	5224.710915327369	9279120.421492325
