Instance,Initial Benefit (LKH),2-Opt Results,2-Opt Improvement (%),2-Opt Runtime (s),Reversed 2-Opt Results,Reversed 2-Opt Improvement (%),Reversed 2-Opt Runtime (s),Exchange Results,Exchange Improvement (%),Exchange Runtime (s),Reversed Exchange Results,Reversed Exchange Improvement (%),Reversed Exchange Runtime (s),Jump Results,Jump Improvement (%),Jump Runtime (s),Reversed Jump Results,Reversed Jump Improvement (%),Reversed Jump Runtime (s),Combined Results,Combined Improvement (%),Combined Runtime (s),ma2b average,ma2b best,cs2sa average,cs2sa best
eil51_n50_bounded-strongly-corr_01.ttp,3844.234524,4043.1591,5.17%,91.34767063,4181.738102,8.78%,84.90935057,3844.234524,0.00%,39.30992084,3844.234524,0.00%,39.32436116,4180.13924,8.74%,410.4867641,4139.686421,7.69%,66.19886059,4069.604262,5.86%,118.6408532,,,,
eil51_n50_bounded-strongly-corr_02.ttp,5082.959564,5476.999343,7.75%,283.2891549,5416.727297,6.57%,177.344327,5082.959564,0.00%,57.30421449,5082.959564,0.00%,52.72437805,5114.862597,0.63%,140.7274311,5188.350459,2.07%,56.21420869,5523.119794,8.66%,258.6658159,,,,
eil51_n50_bounded-strongly-corr_03.ttp,5104.18926,5540.702126,8.55%,187.4565374,5755.900013,12.77%,194.6693499,5104.18926,0.00%,83.21330594,5104.18926,0.00%,77.59276299,5219.743838,2.26%,108.6833665,5204.254942,1.96%,85.52481671,5728.534204,12.23%,266.526953,,,,
eil51_n50_bounded-strongly-corr_04.ttp,5531.322971,6031.884416,9.05%,117.1566539,5977.328819,8.06%,262.688694,5531.322971,0.00%,111.9787966,5531.322971,0.00%,100.3129603,5875.017653,6.21%,224.9159329,5875.017653,6.21%,78.23793478,6031.884416,9.05%,268.172192,,,,
eil51_n50_bounded-strongly-corr_05.ttp,3924.920894,4269.551276,8.78%,131.70979,4578.109011,16.64%,298.0779315,3924.920894,0.00%,121.2776481,3924.920894,0.00%,97.66929039,4414.863109,12.48%,273.1112416,4789.742857,22.03%,51.94634193,5138.388522,30.92%,341.5053236,,,,
eil51_n50_bounded-strongly-corr_06.ttp,5879.380695,6314.92289,7.41%,253.0792732,6755.274865,14.90%,464.9423817,5899.238413,0.34%,92.5069683,5899.238413,0.34%,41.72649548,6432.362712,9.41%,250.7347371,6864.017065,16.75%,76.86482251,6648.687622,13.08%,290.1416824,,,,
eil51_n50_bounded-strongly-corr_07.ttp,7101.499985,7740.719457,9.00%,322.84273,8159.667167,14.90%,470.1214202,7537.837343,6.14%,130.8195333,7601.45523,7.04%,147.43178,7785.079715,9.63%,195.1014674,8127.267217,14.44%,113.4995325,7873.424528,10.87%,273.8914932,,,,
eil51_n50_bounded-strongly-corr_08.ttp,5954.563914,6424.213952,7.89%,303.4404132,6773.180108,13.75%,498.4903464,5979.865341,0.42%,91.44413672,5979.865341,0.42%,45.58445423,6691.911851,12.38%,247.0985071,7166.342561,20.35%,111.0164487,6691.911851,12.38%,319.1401423,,,,
eil51_n50_bounded-strongly-corr_09.ttp,5549.86417,6453.846465,16.29%,418.7606319,5920.316778,6.67%,462.9976398,5576.111609,0.47%,85.83419669,5576.111609,0.47%,45.71448813,6243.779337,12.50%,245.9012664,6802.301109,22.57%,170.3340725,6453.846465,16.29%,308.6440854,,,,
eil51_n50_bounded-strongly-corr_10.ttp,9586.071781,10616.3098,10.75%,618.7178947,10188.36702,6.28%,383.2907181,10174.68039,6.14%,134.3762389,10161.7726,6.01%,106.5222984,10347.31841,7.94%,279.3723339,11082.59918,15.61%,111.9283671,10616.3098,10.75%,288.4568863,,,,
